date,geoRegion,ageRange,sex,cases,hosps,deaths
202018,NE,60 - 69,unknown,0,0,0
202018,NE,70 - 79,male,2,1,0
202018,NE,70 - 79,female,0,1,0
202018,NE,70 - 79,unknown,0,0,0
202018,NE,80+,male,1,1,2
202018,NE,80+,female,4,1,2
202018,NE,80+,unknown,0,0,0
202018,NE,unknown,male,0,0,0
202018,NE,unknown,female,0,0,0
202018,NE,unknown,unknown,0,0,0
202018,NW,0 - 9,male,0,0,0
202018,NW,0 - 9,female,0,0,0
202018,NW,0 - 9,unknown,0,0,0
202018,NW,10 - 19,male,0,0,0
202018,NW,10 - 19,female,0,0,0
202018,NW,10 - 19,unknown,0,0,0
202018,NW,20 - 29,male,0,0,0
202018,NW,20 - 29,female,1,0,0
202018,NW,20 - 29,unknown,0,0,0
202018,NW,30 - 39,male,0,0,0
202018,NW,30 - 39,female,0,0,0
202018,NW,30 - 39,unknown,0,0,0
202018,NW,40 - 49,male,0,0,0
202018,NW,40 - 49,female,0,0,0
202018,NW,40 - 49,unknown,0,0,0
202018,NW,50 - 59,male,0,0,0
202018,NW,50 - 59,female,0,0,0
202018,NW,50 - 59,unknown,0,0,0
202018,NW,60 - 69,male,0,0,0
202018,NW,60 - 69,female,0,0,0
202018,NW,60 - 69,unknown,0,0,0
202018,NW,70 - 79,male,0,0,0
202018,NW,70 - 79,female,0,0,0
202018,NW,70 - 79,unknown,0,0,0
202018,NW,80+,male,0,0,0
202018,NW,80+,female,0,0,0
202018,NW,80+,unknown,0,0,0
202018,NW,unknown,male,0,0,0
202018,NW,unknown,female,0,0,0
202018,NW,unknown,unknown,0,0,0
202018,OW,0 - 9,male,0,0,0
202018,OW,0 - 9,female,0,0,0
202018,OW,0 - 9,unknown,0,0,0
202018,OW,10 - 19,male,0,0,0
202018,OW,10 - 19,female,0,0,0
202018,OW,10 - 19,unknown,0,0,0
202018,OW,20 - 29,male,2,0,0
202018,OW,20 - 29,female,1,0,0
202018,OW,20 - 29,unknown,0,0,0
202018,OW,30 - 39,male,0,0,0
202018,OW,30 - 39,female,0,0,0
202018,OW,30 - 39,unknown,0,0,0
202018,OW,40 - 49,male,0,0,0
202018,OW,40 - 49,female,1,0,0
202018,OW,40 - 49,unknown,0,0,0
202018,OW,50 - 59,male,2,1,0
202018,OW,50 - 59,female,0,0,0
202018,OW,50 - 59,unknown,0,0,0
202018,OW,60 - 69,male,0,0,0
202018,OW,60 - 69,female,0,0,0
202018,OW,60 - 69,unknown,0,0,0
202018,OW,70 - 79,male,0,0,0
202018,OW,70 - 79,female,0,0,0
202018,OW,70 - 79,unknown,0,0,0
202018,OW,80+,male,0,0,0
202018,OW,80+,female,0,0,0
202018,OW,80+,unknown,0,0,0
202018,OW,unknown,male,0,0,0
202018,OW,unknown,female,0,0,0
202018,OW,unknown,unknown,0,0,0
202018,SG,0 - 9,male,0,0,0
202018,SG,0 - 9,female,0,0,0
202018,SG,0 - 9,unknown,0,0,0
202018,SG,10 - 19,male,0,0,0
202018,SG,10 - 19,female,1,0,0
202018,SG,10 - 19,unknown,0,0,0
202018,SG,20 - 29,male,2,0,0
202018,SG,20 - 29,female,3,0,0
202018,SG,20 - 29,unknown,0,0,0
202018,SG,30 - 39,male,1,0,0
202018,SG,30 - 39,female,0,0,0
202018,SG,30 - 39,unknown,0,0,0
202018,SG,40 - 49,male,1,0,0
202018,SG,40 - 49,female,0,0,0
202018,SG,40 - 49,unknown,0,0,0
202018,SG,50 - 59,male,0,0,0
202018,SG,50 - 59,female,3,0,0
202018,SG,50 - 59,unknown,0,0,0
202018,SG,60 - 69,male,1,1,0
202018,SG,60 - 69,female,1,0,1
202018,SG,60 - 69,unknown,0,0,0
202018,SG,70 - 79,male,1,1,0
202018,SG,70 - 79,female,0,1,0
202018,SG,70 - 79,unknown,0,0,0
202018,SG,80+,male,2,0,0
202018,SG,80+,female,2,1,0
202018,SG,80+,unknown,0,0,0
202018,SG,unknown,male,0,0,0
202018,SG,unknown,female,0,0,0
202018,SG,unknown,unknown,0,0,0
202018,SH,0 - 9,male,0,0,0
202018,SH,0 - 9,female,0,0,0
202018,SH,0 - 9,unknown,0,0,0
202018,SH,10 - 19,male,0,0,0
202018,SH,10 - 19,female,0,0,0
202018,SH,10 - 19,unknown,0,0,0
202018,SH,20 - 29,male,0,0,0
202018,SH,20 - 29,female,0,0,0
202018,SH,20 - 29,unknown,0,0,0
202018,SH,30 - 39,male,0,0,0
202018,SH,30 - 39,female,0,0,0
202018,SH,30 - 39,unknown,0,0,0
202018,SH,40 - 49,male,1,0,0
202018,SH,40 - 49,female,0,0,0
202018,SH,40 - 49,unknown,0,0,0
202018,SH,50 - 59,male,0,0,0
202018,SH,50 - 59,female,0,0,0
202018,SH,50 - 59,unknown,0,0,0
202018,SH,60 - 69,male,0,0,0
202018,SH,60 - 69,female,0,0,0
202018,SH,60 - 69,unknown,0,0,0
202018,SH,70 - 79,male,0,0,0
202018,SH,70 - 79,female,0,0,0
202018,SH,70 - 79,unknown,0,0,0
202018,SH,80+,male,0,0,0
202018,SH,80+,female,0,0,0
202018,SH,80+,unknown,0,0,0
202018,SH,unknown,male,0,0,0
202018,SH,unknown,female,0,0,0
202018,SH,unknown,unknown,0,0,0
202018,SO,0 - 9,male,0,0,0
202018,SO,0 - 9,female,0,0,0
202018,SO,0 - 9,unknown,0,0,0
202018,SO,10 - 19,male,0,0,0
202018,SO,10 - 19,female,3,0,0
202018,SO,10 - 19,unknown,0,0,0
202018,SO,20 - 29,male,2,0,0
202018,SO,20 - 29,female,3,0,0
202018,SO,20 - 29,unknown,0,0,0
202018,SO,30 - 39,male,0,0,0
202018,SO,30 - 39,female,3,0,0
202018,SO,30 - 39,unknown,0,0,0
202018,SO,40 - 49,male,1,0,0
